UseID,ID,Description
"1","1","NSVD"
"1","2","LSCS"
"1","3","Forceps"
"1","4","Vaccum"
"2","1","1. Healthy living (hygiene/sleeping/exercises)"
"2","2","2. Iron,folic/TT/Mebandazole,B1"
"2","3","3. AN danger signs,"
"2","4","4. Nutrition"
"2","5","5. Initiative BF (or) EBF"
"2","6","6. Birth plan /Preparation for Delivery, Clean delivery, Hand Washing"
"2","7","7. Delivery danger sign"
"2","8","8. PN danger sign (Mother/Newborn)"
"2","9","9. Immunization"
"2","10","10. Birth spacing"
"3","1","Doctor"
"3","2","Nurse"
"3","3","Mid-wife"
"3","4","AMW"
"3","5","Other"
"5","1","Alive"
"5","2","Death"
"6","1","Live Birth"
"6","2","Still Birth"
"7","1","Normal"
"7","2","Excess"
"8","1","Normal"
"8","2","Difficult"
"9","1","Normal"
"9","2","Fast"
"9","3","Slow"
"9","4","Difficult"
"9","5","Chest in-drawing"
"10","1","Male"
"10","2","Female"
"11","1","New"
"11","2","Old"
"12","1","1. Tedim Hospital"
"12","2","2. Rih Hospital"
"12","3","3. Kalay Hospital"
"12","4","4. Khampat Hospital"
"13","1","Mother"
"13","2","Child"
"13","3","Both"
"14","0","Spirit"
"14","1","Oral Contraceptives"
"14","2","Ferrous Sulphate+Folic Acid"
"14","3","Aluminium+Meg"
"14","4","B1"
"14","5","Chlorhexidine"
"14","6","CDK"
"14","7","Cotton"
"14","8","Ethanol"
"14","9","Gauze"
"14","10","Gloves"
"14","11","Mebendazole"
"14","12","Polyvidone iodine"
"14","13","Tape adhesive"
"14","14","Tape measuring"
"14","15","Test Strip (Urine)"
"14","16","Test Strip (Glucose)"
"14","17","Test Strip (Albumin)"
"14","101","ORS"
"14","102","Zinc Sulphate"
"14","103","Paracetamol_100mg"
"14","104","Paracetamol_500mg"
"14","105","Paracetamol_Syrup"
"14","106","Albendazole"
"14","108","Amoxicillin"
"14","109","Arte+Lume 6x1"
"14","110","Arte+Lume 6x2"
"14","111","Arte+Lume 6x3"
"14","112","Arte+Lume 6x4"
"14","113","Ascobic acid (vit.c)"
"14","114","Benzyl Benzoate"
"14","116","CQ 100mg"
"14","117","CQ 10mg"
"14","118","CQ 150mg"
"14","119","Cotrimoxazole"
"14","120","Condom"
"14","124","Gentian violet"
"14","125","Glove"
"14","126","MUAC"
"14","127","Malaria test strip"
"14","128","Metronidazole"
"14","129","Neomycin+Bacitracin"
"14","132","Tetracycline tube"
"14","150","Newborn Kit"
"14","151","Bandage"
"14","152","Tetracycline"
"14","153","Paper Tape"
"14","154","Weight Mx (Child)"
"14","155","Weight Mx (Maternal)"
"14","156","Thermometer"
"14","157","Scissor"
"14","158","Sphingnomenometer (Old)"
"14","159","Suction"
"14","160","Sphingnomenometer (Child )"
"14","161","Mucus Extractor"
"14","162","Nail Brush"
"14","163","Soap"
"14","164","Torch"
"14","165","Cotton Wool"
"14","166","Forcep"
"14","167","Timer"
"14","168","Tape Tailor"
"14","169","First Aid Products"
"14","170","Medispo"
"14","171","Bandage 4*8 cm"
"14","172","Triangular Bandage"
"14","173","IDA"
"14","174","Box"
"14","175","Stethoscope"
"14","176","Sphymomanometer"
"14","177","Kidney Tray"
"14","178","Nail Clipper"
"14","179","Stethoscope (Child)"
"14","180","AMW Bag"
"14","181","Artery Forcep"
"14","182","MOM"
"14","183","Bandage 10*5 cm"
"14","184","Bandage 5*5 cm"
"14","185","Metal Box"
"14","186","Tissue Forcep"
"14","187","Scale Infant"
"14","188","Vitamin"
"14","200","Aluminum"
"14","201","Betadine"
"14","202","Deworming Drug"
"14","203","Bag"
"14","204","Eye drops"
"14","205","Aluminium Hydroxide"
"14","206","Micronutrient"
"14","207","Paracetamol"
"14","208","Vitamin(complex)"
"14","209","Zinc"
"14","210","Plaster"
"14","299","Others"
"14","990","Spirit"
"14","991","Misoprostol"
"14","999","Unknown"
"15","1","ORS"
"15","2","Zinc Sulphate"
"15","3","Paracetamol_100mg"
"15","4","Paracetamol_500mg"
"15","5","Paracetamol_Syrup"
"15","6","Albendazole"
"15","7","Aluminium+Meg"
"15","8","Amoxicillin"
"15","9","Arte+Lume 6x1"
"15","10","Arte+Lume 6x2"
"15","11","Arte+Lume 6x3"
"15","12","Arte+Lume 6x4"
"15","13","Ascobic acid (vit.c)"
"15","14","Benzyl Benzoate"
"15","15","Chlorhexidine"
"15","16","CQ 100mg"
"15","17","CQ 10mg"
"15","18","CQ 150mg"
"15","19","Cotrimoxazole"
"15","20","Condom"
"15","21","Cotton"
"15","22","Ethanol"
"15","23","Gauze"
"15","24","Gentian violet"
"15","25","Glove"
"15","26","MUAC"
"15","27","Malaria test strip"
"15","28","Metronidazole"
"15","29","Neomycin+Bacitracin"
"15","30","Polyvidone iodine"
"15","31","Tape adhesive"
"15","32","Tetracycline tube"
"15","101","Oral Contraceptives"
"15","102","Ferrous Sulphate+Folic Acid"
"15","103","Bandage"
"15","104","B1"
"15","105","B2"
"15","106","CDK"
"15","107","Bandage 4*8"
"15","108","Bandage 5*10"
"15","109","Burmeton"
"15","110","Cotton Wool"
"15","111","Mebendazole"
"15","114","Tape measuring"
"15","115","Test Strip (Urine)"
"15","116","Test Strip (Glucose)"
"15","117","Test Strip (Albumin)"
"15","118","Paper Tape"
"15","119","Tetracycline"
"15","120","Triangular Bandage"
"15","121","Bag"
"15","122","Soap"
"15","123","Aluminium Hydroxide"
"15","124","Vit C 50 mg"
"15","125","cevit"
"15","126","metro"
"15","127","Septidine"
"15","128","Iodine"
"15","129","Vitamin_C"
"15","130","B6"
"15","131","Cotrimoxazole_Syrup"
"15","999","Unknown"
"15","1000","Spirit"
"16","1","First Time"
"16","2","Follow Up"
"17","1","Home"
"17","2","Others"
